Feature,Importance Mean,Importance SD
comfort_index,112.6343976459109,4.542943225667471
hour_sin,109.5163307492863,4.293961365067061
season,102.77677232476306,4.245500876572771
hour,85.18936915853833,4.144500716339064
humidity_pct,78.74847568180938,4.749200562885353
temperature_c,53.00842639541805,2.7087491830162462
peak_hour,40.51175208550264,3.2093132301625586
solar_radiation,36.937190275673565,3.5246383189542696
hour_cos,20.909440735297803,3.5020736775243693
rainfall_mm,18.337189653738374,2.6000545344941743
