Model,MAE,RMSE,R2
Tuned Extra Trees,146.15200335467972,232.11309369607662,0.8627652577360378
Random Forest,144.56153917893207,233.89876243328234,0.8606456150732227
Extra Trees,146.89184353875436,237.2678899306661,0.8566021212684908
Ridge Regression,293.30532349097274,387.70699768671693,0.6171117225703522
